"Route No","Route Name","From Stop Name","Till Stop Name","Via Stop Name","Route Type","Bstop ID","Bstop Name","DIST KM","IN ACTIVE","DTL IN ACTIVE",Source_Marathi,Destination_Marathi,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Remark,School_Trip
10903,"Katta To Warad Par",Katta,"Warad Par",,MO,6870,Katta,,,,कट्टा,वराड,8.4,12:15,12:30,SCH,DAIL,,,
10903,"Katta To Warad Par",Katta,"Warad Par",,MO,6993,"Sawarwad Varad Fata",3.6,,,कट्टा,वराड,8.4,12:15,12:30,SCH,DAIL,,,
10903,"Katta To Warad Par",Katta,"Warad Par",,MO,7014,"Varad Mandir",6.2,,,कट्टा,वराड,8.4,12:15,12:30,SCH,DAIL,,,
10903,"Katta To Warad Par",Katta,"Warad Par",,MO,7036,"Warad Par",8.4,,,कट्टा,वराड,8.4,12:15,12:30,SCH,DAIL,,,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24359,Kolhapur,,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23625,"Dasara Chwok",3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25400,Rankala,5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25435,"Sane Guruji Vasahat",7.8,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25083,"New Washi Naka",9.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24593,"Kolhapur Water Supply",10,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,26066,Washi,11,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24388,Kandgaon,15.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23669,Devale,17.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23945,Haldi,19.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24444,Kothali,21.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24502,Kurukali,23.1,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24501,"Kurukali College",24.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23216,"Bhogavati Sugar Factory",27.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24207,Kaulav,30.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25521,Shirase,33.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25306,"Powar House",35.8,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,30598,Awali,36.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23049,Anaje,39.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24322,"Khindi Vharavade",41.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23779,Gaiby,47.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25336,Radhanagari,52.2,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24014,Hatimahal,54,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25393,"Radhanagri Dam",57.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23601,Daoudwadi,60,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,30607,Ajiwade,62.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25530,Shelap,66,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23137,Bambar,69,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,25038,Naniwade,71.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,24004,Hasane,75,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,23566,Dajipur,81.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2723,"Ganguchi Wadi",93.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2904,Phonda,97.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2906,"Phonda Iti",100.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2787,"Kankavli Nandgaon Fata",100.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2895,Pachoba,101.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2781,Kanadewadi,103.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2771,"Kach Karakhana",104.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2790,Karul,104.8,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2757,"Humrath Mal Ghorpiwadi",107.2,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2758,"Humrath School",108.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2756,"Humrat Titha",108.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2768,"Janavali Gavthanwadi",111.8,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2786,Kankavli,115.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,3001,"Wagade Gpo",120.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2692,Dangalwadi,121.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2891,"Osargaon Talav",122.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2890,"Osargaon Post",125.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,2889,"Osargaon Godaoon",126.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6281,Kasal,129.9,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6368,Padve,132.9,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6392,"Ranbambuli Fata",134.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6410,"Sukalwad Bazar",135.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6424,Sukalwad,136,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6820,Gaorai,137,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6993,"Sawarwad Varad Fata",139.2,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6870,Katta,143.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6770,Bagwadi,144.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6985,"Salel Nangarbhat",148.4,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6799,Chouke,151.7,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6750,"Ajagaonkar Bangala",154.5,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6897,"Kumbharmath Govekar Dukan",156.6,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
10917,"Kolhapur To Malvan",Kolhapur,Malvan,,MO,6915,Malvan,161.3,,,कोल्हापुर,मालवण,161.3,06:15,11:10,,,"6 तासांत डयुटी संपते",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6915,Malvan,,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6897,"Kumbharmath Govekar Dukan",3.7,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6750,"Ajagaonkar Bangala",5.8,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6799,Chouke,8.6,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6985,"Salel Nangarbhat",12,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6770,Bagwadi,15,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6870,Katta,18,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6825,Ghotale,21,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6958,Parad,24,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6335,Nerurpar,27,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6428,Thakurwadi,30,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6351,"Nerur Jakat",33,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6237,"Kudal St Depot",36,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6376,"Pinguli Titha",39,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6251,"Karmal Galu",42,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6305,"Madyachiwadi Phanas",45,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6215,Humarmala,48,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,6377,"Pendurkar Dukan",51,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,9719,"Mhapan Kochara Titha",52,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,9632,"Devacha Chafa",54,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,9689,"Kochara Chavata",55,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,9786,"Shelpi Fata",57,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
11043,"Malvan To Kochara Shriramwadi",Malvan,"Kochara Shriramwadi",,MO,9691,"Kochara Shriramwadi",60.8,,,मालवण,श्रीरामवाडी(कोचरा),60.8,16:30,18:50,SCL,DAIL,"विश्रांती 15.00 ते 16.30",,
19860,"Waingawade Fata To Kasal","Waingawade Fata",Kasal,,MO,7030,"Waingawade Fata",,,,वायंगवडे,कसाल,12.6,09:15,09:45,SCL,DAIL,,,
19860,"Waingawade Fata To Kasal","Waingawade Fata",Kasal,,MO,7029,"Waingawade Amba",3.8,,,वायंगवडे,कसाल,12.6,09:15,09:45,SCL,DAIL,,,
19860,"Waingawade Fata To Kasal","Waingawade Fata",Kasal,,MO,6883,"Khotale School",5.8,,,वायंगवडे,कसाल,12.6,09:15,09:45,SCL,DAIL,,,
19860,"Waingawade Fata To Kasal","Waingawade Fata",Kasal,,MO,6844,"Hedul Vinanti",6.8,,,वायंगवडे,कसाल,12.6,09:15,09:45,SCL,DAIL,,,
19860,"Waingawade Fata To Kasal","Waingawade Fata",Kasal,,MO,6843,"Hedul Loharwadi",9.4,,,वायंगवडे,कसाल,12.6,09:15,09:45,SCL,DAIL,,,
19860,"Waingawade Fata To Kasal","Waingawade Fata",Kasal,,MO,6281,Kasal,12.6,,,वायंगवडे,कसाल,12.6,09:15,09:45,SCL,DAIL,,,
20097,"Bhagwantgad To Achara",Bhagwantgad,Achara,,MO,6780,Bhagwantgad,,,,भगवंतगड,आचरा,9.2,10:30,10:50,SCL,DAIL,,,
20097,"Bhagwantgad To Achara",Bhagwantgad,Achara,,MO,6934,"Mauli Mandir",2.4,,,भगवंतगड,आचरा,9.2,10:30,10:50,SCL,DAIL,,,
20097,"Bhagwantgad To Achara",Bhagwantgad,Achara,,MO,6798,"Chindar Wad",5.3,,,भगवंतगड,आचरा,9.2,10:30,10:50,SCL,DAIL,,,
20097,"Bhagwantgad To Achara",Bhagwantgad,Achara,,MO,6740,Achara,9.2,,,भगवंतगड,आचरा,9.2,10:30,10:50,SCL,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6803,Dangmode,,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6804,"Dangmode Mandir",3.1,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6875,"Kawawadi Masure",7.9,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6906,"Magavane Fata",10.5,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6877,Khajanwadi,12.9,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,7000,"Talani Pool",15.6,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6866,"Kandalgaon Parab House",18.9,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6949,"Ozar Rameshwar Nagar",21,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6889,Kolamb,23,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20129,"Dangmode To Malvan",Dangmode,Malvan,,MO,6915,Malvan,27.9,,,डांगमोडे,मालवण,27.9,17:40,18:50,SCH,DAIL,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6809,Dewali,,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6904,Madkhol,2.3,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6799,Chouke,5.6,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6750,"Ajagaonkar Bangala",8.4,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6897,"Kumbharmath Govekar Dukan",10.5,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6915,Malvan,14,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20140,"Dewali To Malvan Bazar",Dewali,"Malvan Bazar",,MO,6916,"Malvan Bazar",16,,,देवली,मालवण,14,06:35,07:05,OPT,SUN,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6875,"Kawawadi Masure",,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6928,"Masure Bazar",1,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6906,"Magavane Fata",2.6,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6877,Khajanwadi,5,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,7000,"Talani Pool",7.7,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6986,Salkarwadi,9.9,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6866,"Kandalgaon Parab House",11,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6865,"Kandalgaon Mandir",11.9,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6949,"Ozar Rameshwar Nagar",14,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6889,Kolamb,16.7,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
20188,"Kawawadi Masure To Malvan","Kawawadi Masure",Malvan,,MO,6915,Malvan,22,,,"मसुरे कावा",मालवण,22,08:30,09:20,SCL,DAIL,,,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6915,Malvan,,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6917,Malvan,0.6,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6897,"Kumbharmath Govekar Dukan",3.7,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6750,"Ajagaonkar Bangala",5.8,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6799,Chouke,8.6,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6985,"Salel Nangarbhat",11.9,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6770,Bagwadi,16.6,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6870,Katta,18,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6825,Ghotale,21,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6962,"Pendur Naka",21.3,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6958,Parad,23.8,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
40549,"Malvan To Belgaum Via Pendur",Malvan,Belgaum,"PENDUR NAKA",MO,6856,"Hubalicha Mal",26.6,,,मालवण,बेळगाव,163.2,04:50,09:55,,,"6 तासांत डयुटी संपते",,
