Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Old_Route_No,Excel_Row_Ref
1,1,10756,66151,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,"दाभोळे,दहिबांव,मिठबांव",28.6,12:15,13:15,SCL,DAILY,,155.5,6h 55m,5h 50m,शालेय,SCHOOL,128600,3
1,2,29856,66152,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,"मिठबाव,दहिबाव,दाभोळे",28.6,13:25,14:25,OBL,DAILY,विश्रांती 14.25-15.30,,,,शालेय,SCHOOL,125441,4
1,3,29929,66153,देवगड,Devgad,मालवण,Malvan,"नांदगाव,कणकवली,कसाल,कट्टा",98.3,15:30,18:30,SCL,DAILY,,,,,बंधनकारक,,125458,5
2,1,11018,66154,मालवण,Malvan,देवगड,Devgad,"कट्टा,कसाळ,कणकवली नांदगाव",98.3,05:45,08:50,SCL,DAILY,,136.5,5h 35m,5h 05m,शालेय,SCHOOL,125465,7
2,2,10721,66155,देवगड,Devgad,कुणकेश्वर,Kunkeshwar,"इळयेसडा,मिठमुंबरी",19.1,09:20,10:00,SCL,DAILY,6 तासांत ड्युटी संपते,,,,शालेय,,128539,8
2,3,29827,66156,कुणकेश्वर,Kunkeshwar,देवगड,Devgad,मिठमुंबरी इळयेसडा,19.1,10:10,10:50,OBL,DAILY,,,,,शालेय,,125478,9
3,1,151195,66157,देवगड,Devgad,भगवंतगड,Bhagwantgad,"इळयेसडा  कुणकेश्वर,मिठबांव,हिंदळे,मुणगे",51.2,11:45,13:30,SCL,SAT-SUN,विश्रांती 13.30-14.00,180.4,7h 50m,7h 15m,शालेय,,125483,11
3,2,125486,66158,भगवंतगड,Bhagwantgad,देवगड,Devgad,"आचरा,मशवी,मुणगे,हिंदळे,नारिंग्रे,दाभोळे",42.2,14:00,15:30,SCL,SAT-SUN,,,,,बंधनकारक,,125486,12
3,,,66159,देवगड,Devgad,आचरा,Achara,,39,,,,only Sat- Sun opt,,,,,,,,13
3,,,66160,आचरा,Achara,देवगड,Devgad,,33.2,,,,only Sat- Sun opt,,,,,,,,14
3,3,10722,66161,देवगड,Devgad,कुडाळ,Kudal,"नांदगाव,फोंडा",72,15:45,18:15,OPT,DAILY,,,,,बंधनकारक,,125490,15
3,4,19819,66162,कुडाळ,Kudal,फोंडा,Fonda,(बांडकवाडी येथे राहण्याची सोय नसल्याने फोंडा येथे),15,18:25,18:55,SCL,DAILY,,,,,बंधनकारक,,125988,16
4,1,84432,66163,फोंडा,Fonda,बांडकवाडी,Bandakwadi,घोणसरी,9,05:55,06:15,OBL,SAT-SUN,विश्रांती 09.00-09.45,141,8h 30m,,बंधनकारक,,125493,18
4,2,19190,66164,बांडकवाडी,Bandakwadi,फोंडा,Fonda,"फोंडा,नांदगाव",9,06:40,07:00,SCL,SAT-SUN,,,,,बंधनकारक,SCHOOL,125495,19
4,3,51982,66165,फोंडा,Fonda,देवगड,Devgad,,53,08:00,09:30,SCL,DAILY,,,,,,,,20
4,4,10766,66166,देवगड,Devgad,विरवाडी,Virwadi,जामसंडे,10,09:45,10:05,OBL,DAILY,,,,,शालेय,,125497,21
4,5,29865,66167,विरवाडी,Virwadi,देवगड,Devgad,"कावलेवाडी,जामसंडे",12,10:15,10:45,OBL,DAILY,,,,,शालेय,,125498,22
4,6,10762,66168,देवगड,Devgad,तेलीवाडी,Teliwadi,"तळेबाजार,बागतळवडे",24,11:45,12:45,SCL,DAILY,,,,,बंधनकारक,SCHOOL,125829,23
4,7,29862,66169,तेलीवाडी,Teliwadi,देवगड,Devgad,"तळेबाजार,बागतळवडे",24,12:55,13:55,OBL,DAILY,,,,,बंधनकारक,SCHOOL,125830,24
5,1,125503,66170,शिरगांव,Shirgaon,महालुंगे,Mahalunge,"ओबळ,भोळेवाडी,नाद",31.8,12:30,13:35,SCL,DAILY,विश्रांती 14.50-15.30,149.3,7h 35m,5h 45m,शालेय,SCHOOL,125503,29
5,2,1125506,66171,महालुंगे,Mahalunge,शिरगांव,Shirgaon,"नाद,ओंबळ",31.8,13:45,14:50,OBL,DAILY,,,,,शालेय,,125506,30
5,3,125511,66172,शिरगांव,Shirgaon,आयनल,Aaynal,"साळशी,चाफेड",16.9,15:30,16:05,SCL,DAILY,,,,,शालेय,SCHOOL,125511,31
5,4,125514,66173,आयनल,Aaynal,शिरगांव,Shirgaon,"साळशी,चाफेड",16.9,16:15,16:50,OBL,DAILY,,,,,शालेय,,125514,32
5,,11222,,शिरगांव,Shirgaon,वळीवंडे,Valivande,,6.1,16:55,17:05,,,,,,,,,,33
5,,29947,,वळीवंडे,Valivande,शिरगांव,Shirgaon,,6.1,17:15,17:25,,,,,,,,,,34
5,5,125517,66174,शिरगांव,Shirgaon,तोरसोळे,Torsole,राणेवाडी,7.7,17:30,17:45,SCL,DAILY,,,,,शालेय,SCHOOL,125517,35
5,6,125519,66175,तोरसोळे,Torsole,शिरगांव,Shirgaon,राणेवाडी,7.7,17:55,18:10,OBL,DAILY,,,,,शालेय,,125519,36
5,7,128547,66176,शिरगांव,Shirgaon,आयनल,Aaynal,"चौकेवाडी,साळशी,चाफेड",24.3,18:40,19:40,OBL,DAILY,,,,,बंधनकारक,,128547,37
6,1,125520,66177,आयनल,Aaynal,देवगड,Devgad,"भोगलेवाडी, साळशी, चौकेवाडी",48.3,05:45,07:20,OPT,DAILY,6 तासांत ड्युटी संपते,137.60000000000002,5h 45m,5h 45m,शालेय,SCHOOL,125520,39
6,2,10700,66178,देवगड,Devgad,दाभोळे,Dabhole,जामसंडे,10.7,07:30,07:50,OBL,DAILY,,,,,शालेय,,125754,40
6,3,28701,66179,दाभोळे,Dabhole,देवगड,Devgad,जामसंडे,10.7,08:00,08:20,SCL,DAILY,,,,,शालेय,SCHOOL,125755,41
6,4,125963,66180,देवगड,Devgad,नवानगर,Navanagar,"पडेलगाव,तिलोट",32.1,08:30,09:35,OBL- TPL,DAILY,,,,,शालेय/टपाल,SCHOOL,125963,42
6,5,125964,66181,नवानगर,Navanagar,देवगड,Devgad,"ठाकूरवाडी,मोहूळ,पडेल",35.8,09:45,11:05,SCL-TPL,DAILY,,,,,शालेय/टपाल,SCHOOL,125964,43
7,3,125542,66182,देवगड,Devgad,वुवळे,Vuvale,"साळशी,शिरगांव",33.9,12:15,13:30,OPT-SCL,DAILY,,120.69999999999999,8h 30m,6h 00m,ऑपरेशनल,,125542,45
7,4,60942,66183,वुवळे,Vuvale,शिरगांव,Shirgaon,"साळशी,चाफेड",28.7,13:40,14:40,OBL,DAILY,,,,,शालेय,,125549,46
7,5,11212,66184,शिरगांव,Shirgaon,चौकेवाडी,Choukewadi,,4.5,16:30,16:40,SC,DAILY,,,,,शालेय,SCHOOL,12212,47
7,6,29935,66185,चौकेवाडी,Choukewadi,शिरगांव,Shirgaon,,4.5,16:45,16:55,OBL,DAILY,,,,,शालेय,,29935,48
7,7,11219,66186,शिरगांव,Shirgaon,पाडाघर,Padaghar,दुसनवाडी,7.1,17:00,17:15,SC,DAILY,,,,,शालेय,SCHOOL,11219,49
7,8,29941,66187,पाडाघर,Padaghar,शिरगांव,Shirgaon,,5.1,17:20,17:30,OBL,DAILY,,,,,शालेय,,29941,50
7,9,11211,66188,शिरगांव,Shirgaon,भोळेवाडी,Bholewadi,ओंबळ,11.2,17:45,18:15,SC,DAILY,,,,,शालेय,SCHOOL,11211,51
7,10,60935,66189,भोळेवाडी,Bholewadi,शिरगांव,Shirgaon,ओंबळ,11.2,18:25,18:55,SC,DAILY,,,,,शालेय,,60935,52
7,11,11220,66190,शिरगांव,Shirgaon,रेंबवली,Rembavali,"साळशी,चाफेड",14.5,19:30,20:05,OBL,DAILY,विश्रांती 14.40-16.30,,,,बंधनकारक,,125554,53
8,1,60936,66191,रेंबवली,Rembavali,भोळेवाडी,Bholewadi,"वुवळे,साळशी,शिरगाव,ओंबळ",27.3,05:50,06:50,SC,DAILY,विश्रांती 08.45-09.15,162.1,9h 15m,6h 55m,शालेय,SCHOOL,125831,56
8,2,60935,66192,भोळेवाडी,Bholewadi,शिरगांव,Shirgaon,"साळशी,चाफेड",11.2,07:00,07:25,OBL,DAILY,,,,,शालेय,SCHOOL,60935,57
8,3,125511,66193,शिरगांव,Shirgaon,आयनल,Aaynal,साळशी हायस्कुल,14.9,07:30,08:00,SC,DAILY,,,,,शालेय,,128540,58
8,4,125514,66194,आयनल,Aaynal,शिरगांव,Shirgaon,साळशी हायस्कुल,14.9,08:15,08:45,OBL,DAILY,,,,,शालेय,SCHOOL,128544,59
8,5,11212,66195,शिरगांव,Shirgaon,चौकेवाडी,Choukewadi,,4.5,09:15,09:25,SC,DAILY,,,,,शालेय,,12212,60
8,6,29935,66196,चौकेवाडी,Choukewadi,शिरगांव,Shirgaon,,4.5,09:35,09:45,OBL,DAILY,,,,,शालेय,SCHOOL,29935,61
8,7,125571,66197,शिरगांव,Shirgaon,आयनल पिपळवाडी,Aaynal Pimpalwadi,साळशी,15,10:00,10:30,OBL,DAILY,,,,,बंधनकारक,,125571,62
8,8,125572,66198,आयनल पिपळवाडी,Aaynal Pimpalwadi,शिरगांव,Shirgaon,साळशी,15,10:40,11:10,SC,DAILY,,,,,शालेय,,125572,63
8,9,11220,66199,शिरगांव,Shirgaon,रेंबवली,Rembavali,"साळशी,वुवळे",15,12:20,13:05,SC,DAILY,,,,,शालेय,SCHOOL,125554,64
8,10,76454,66200,रेंबवली,Rembavali,देवगड,Devgad,"वुवळे,साळशी,शिरगाव",39.8,13:15,14:40,OPT,DAILY,,,,,बंधनकारक,,125574,65
9,1,10728,66201,देवगड,Devgad,मिठबांव,Mithbav,"dabhole कुणकेश्वर,कातवण, मिठमुंबरी",27.6,12:45,13:55,SC,SAT-SUN,विश्रांती 15.05-16.00,180,8h 15m,7h 20m,शालेय,SCHOOL,125913,67
9,2,79019,66202,मिठबांव,Mithbav,देवगड,Devgad,"कुणकेश्वर, मिठमुंबरी",27.6,14:05,15:05,SC,SAT-SUN,,,,,शालेय,,125649,68
